Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_9_C1,9,C1,300.0,125,0.36,0.35,0.528
L_11_C1,11,C1,555.0,100,0.31,0.53,0.557
L_12_C1,12,C1,412.5,124,0.41,0.33,0.516
L_15_C1,15,C1,101.25,127,0.31,0.48,0.554
L_22_C1,22,C1,420.0,72,0.39,0.35,0.554
L_29_C1,29,C1,285.0,81,0.37,0.56,0.549
L_31_C1,31,C1,307.5,120,0.36,0.32,0.544
L_38_C1,38,C1,183.75,100,0.47,0.38,0.544
L_40_C1,40,C1,146.25,92,0.5,0.34,0.533
L_41_C1,41,C1,472.5,115,0.48,0.53,0.544
L_43_C1,43,C1,108.75,122,0.44,0.33,0.531
L_48_C1,48,C1,461.25,101,0.39,0.34,0.541
L_51_C1,51,C1,412.5,103,0.4,0.36,0.526
L_61_C1,61,C1,333.75,99,0.34,0.39,0.513
L_62_C1,62,C1,228.75,130,0.48,0.44,0.551
L_68_C1,68,C1,236.25,90,0.41,0.58,0.555
L_69_C1,69,C1,187.5,116,0.5,0.46,0.548
L_72_C1,72,C1,217.5,101,0.45,0.43,0.528
L_84_C1,84,C1,277.5,130,0.46,0.43,0.536
L_88_C1,88,C1,390.0,88,0.38,0.59,0.538
L_93_C1,93,C1,401.25,95,0.42,0.39,0.544
L_106_C1,106,C1,427.5,79,0.34,0.49,0.556
L_107_C1,107,C1,367.5,92,0.31,0.42,0.524
L_112_C1,112,C1,371.25,79,0.49,0.44,0.554
L_113_C1,113,C1,558.75,128,0.4,0.34,0.554
L_117_C1,117,C1,378.75,121,0.41,0.52,0.519
L_123_C1,123,C1,288.75,89,0.47,0.57,0.557
L_128_C1,128,C1,292.5,103,0.39,0.39,0.541
L_129_C1,129,C1,150.0,118,0.47,0.39,0.556
L_137_C1,137,C1,472.5,130,0.5,0.5,0.55
L_138_C1,138,C1,517.5,88,0.49,0.6,0.536
L_147_C1,147,C1,277.5,116,0.44,0.37,0.556
L_160_C1,160,C1,251.25,113,0.42,0.34,0.552
L_163_C1,163,C1,97.5,97,0.49,0.34,0.547
L_172_C1,172,C1,521.25,101,0.38,0.43,0.556
L_173_C1,173,C1,213.75,100,0.5,0.37,0.552
L_175_C1,175,C1,517.5,71,0.41,0.57,0.55
L_176_C1,176,C1,131.25,114,0.41,0.54,0.557
L_184_C1,184,C1,217.5,104,0.31,0.44,0.542
L_191_C1,191,C1,528.75,118,0.43,0.55,0.55
L_192_C1,192,C1,150.0,84,0.38,0.54,0.548
L_197_C1,197,C1,330.0,100,0.47,0.53,0.539
L_201_C1,201,C1,150.0,82,0.34,0.49,0.534
L_214_C1,214,C1,498.75,104,0.45,0.44,0.51
L_234_C1,234,C1,427.5,90,0.42,0.44,0.551
L_243_C1,243,C1,498.75,84,0.4,0.35,0.552
L_246_C1,246,C1,551.25,127,0.43,0.55,0.538
L_248_C1,248,C1,367.5,123,0.34,0.52,0.543
L_256_C1,256,C1,120.0,95,0.43,0.42,0.527
L_264_C1,264,C1,525.0,121,0.49,0.4,0.552
L_268_C1,268,C1,345.0,91,0.33,0.52,0.555
L_272_C1,272,C1,446.25,80,0.31,0.48,0.529
L_274_C1,274,C1,416.25,117,0.43,0.42,0.524
L_276_C1,276,C1,345.0,112,0.4,0.58,0.531
L_281_C1,281,C1,161.25,77,0.33,0.34,0.547
