Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_3_C6,3,C6,450.0,79,0.46,0.38,0.362
L_5_C6,5,C6,243.75,104,0.49,0.6,0.348
L_8_C6,8,C6,442.5,78,0.38,0.35,0.36
L_16_C6,16,C6,502.5,97,0.47,0.34,0.361
L_26_C6,26,C6,442.5,123,0.38,0.54,0.356
L_27_C6,27,C6,168.75,121,0.49,0.52,0.361
L_32_C6,32,C6,521.25,89,0.46,0.58,0.34
L_33_C6,33,C6,303.75,100,0.34,0.55,0.344
L_36_C6,36,C6,450.0,82,0.47,0.34,0.36
L_37_C6,37,C6,330.0,96,0.38,0.51,0.345
L_39_C6,39,C6,161.25,80,0.32,0.52,0.357
L_53_C6,53,C6,247.5,84,0.43,0.32,0.345
L_89_C6,89,C6,318.75,116,0.39,0.54,0.356
L_90_C6,90,C6,105.0,123,0.36,0.45,0.357
L_94_C6,94,C6,371.25,119,0.48,0.41,0.356
L_97_C6,97,C6,521.25,111,0.38,0.45,0.348
L_100_C6,100,C6,326.25,77,0.48,0.43,0.338
L_118_C6,118,C6,547.5,103,0.41,0.56,0.344
L_119_C6,119,C6,157.5,85,0.38,0.48,0.361
L_122_C6,122,C6,120.0,106,0.33,0.5,0.358
L_124_C6,124,C6,138.75,127,0.48,0.45,0.359
L_131_C6,131,C6,198.75,77,0.43,0.52,0.351
L_139_C6,139,C6,416.25,124,0.42,0.34,0.358
L_148_C6,148,C6,296.25,104,0.48,0.43,0.351
L_150_C6,150,C6,513.75,80,0.43,0.43,0.343
L_151_C6,151,C6,195.0,106,0.35,0.58,0.356
L_161_C6,161,C6,183.75,116,0.45,0.45,0.348
L_178_C6,178,C6,363.75,73,0.37,0.48,0.346
L_185_C6,185,C6,547.5,103,0.5,0.41,0.357
L_193_C6,193,C6,363.75,109,0.34,0.5,0.359
L_215_C6,215,C6,375.0,117,0.45,0.59,0.352
L_221_C6,221,C6,487.5,90,0.39,0.39,0.359
L_222_C6,222,C6,457.5,129,0.42,0.33,0.345
L_247_C6,247,C6,367.5,126,0.47,0.48,0.361
L_251_C6,251,C6,127.5,117,0.46,0.39,0.35
L_252_C6,252,C6,176.25,106,0.42,0.36,0.35
L_253_C6,253,C6,150.0,85,0.45,0.56,0.357
L_263_C6,263,C6,236.25,74,0.44,0.53,0.361
L_265_C6,265,C6,457.5,84,0.3,0.55,0.353
L_266_C6,266,C6,532.5,75,0.45,0.5,0.355
L_273_C6,273,C6,258.75,96,0.47,0.33,0.342
L_282_C6,282,C6,487.5,101,0.37,0.41,0.331
L_285_C6,285,C6,382.5,128,0.35,0.52,0.351
L_288_C6,288,C6,206.25,83,0.41,0.55,0.353
L_290_C6,290,C6,315.0,81,0.36,0.59,0.356
