Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_7_C5,7,C5,558.75,109,0.43,0.39,0.795
L_10_C5,10,C5,108.75,79,0.5,0.56,0.806
L_13_C5,13,C5,547.5,89,0.5,0.48,0.811
L_17_C5,17,C5,536.25,113,0.45,0.39,0.82
L_21_C5,21,C5,427.5,75,0.36,0.35,0.828
L_24_C5,24,C5,363.75,115,0.49,0.55,0.808
L_35_C5,35,C5,341.25,117,0.41,0.33,0.828
L_49_C5,49,C5,412.5,109,0.41,0.43,0.831
L_50_C5,50,C5,540.0,113,0.36,0.42,0.781
L_57_C5,57,C5,232.5,76,0.36,0.52,0.798
L_59_C5,59,C5,487.5,92,0.37,0.6,0.829
L_70_C5,70,C5,153.75,118,0.43,0.4,0.822
L_71_C5,71,C5,487.5,88,0.48,0.32,0.817
L_78_C5,78,C5,438.75,98,0.38,0.57,0.801
L_79_C5,79,C5,386.25,95,0.43,0.41,0.834
L_80_C5,80,C5,303.75,104,0.35,0.58,0.77
L_81_C5,81,C5,371.25,115,0.41,0.48,0.795
L_83_C5,83,C5,532.5,116,0.49,0.44,0.83
L_86_C5,86,C5,262.5,113,0.49,0.41,0.833
L_92_C5,92,C5,416.25,116,0.35,0.54,0.832
L_95_C5,95,C5,213.75,81,0.3,0.34,0.787
L_96_C5,96,C5,296.25,93,0.47,0.52,0.764
L_102_C5,102,C5,532.5,99,0.4,0.36,0.818
L_121_C5,121,C5,386.25,125,0.44,0.6,0.823
L_126_C5,126,C5,187.5,71,0.36,0.35,0.831
L_127_C5,127,C5,187.5,110,0.32,0.38,0.813
L_141_C5,141,C5,416.25,86,0.34,0.35,0.835
L_142_C5,142,C5,480.0,90,0.32,0.41,0.814
L_146_C5,146,C5,551.25,88,0.46,0.4,0.814
L_149_C5,149,C5,390.0,109,0.4,0.51,0.798
L_152_C5,152,C5,367.5,74,0.46,0.51,0.802
L_153_C5,153,C5,255.0,118,0.34,0.52,0.822
L_159_C5,159,C5,180.0,121,0.49,0.34,0.834
L_162_C5,162,C5,363.75,130,0.37,0.39,0.8
L_164_C5,164,C5,506.25,108,0.35,0.49,0.829
L_170_C5,170,C5,296.25,113,0.43,0.37,0.829
L_183_C5,183,C5,431.25,80,0.45,0.56,0.818
L_186_C5,186,C5,453.75,96,0.43,0.59,0.792
L_190_C5,190,C5,547.5,129,0.34,0.48,0.832
L_195_C5,195,C5,427.5,124,0.31,0.41,0.787
L_199_C5,199,C5,307.5,129,0.34,0.5,0.814
L_200_C5,200,C5,536.25,116,0.39,0.34,0.828
L_207_C5,207,C5,465.0,127,0.49,0.49,0.802
L_209_C5,209,C5,378.75,91,0.43,0.39,0.829
L_211_C5,211,C5,543.75,123,0.39,0.42,0.834
L_212_C5,212,C5,360.0,120,0.43,0.45,0.8
L_230_C5,230,C5,176.25,109,0.46,0.51,0.783
L_232_C5,232,C5,446.25,118,0.33,0.32,0.778
L_233_C5,233,C5,431.25,104,0.38,0.55,0.829
L_238_C5,238,C5,198.75,71,0.32,0.42,0.808
L_239_C5,239,C5,266.25,119,0.42,0.51,0.813
L_244_C5,244,C5,251.25,127,0.42,0.37,0.785
L_245_C5,245,C5,296.25,85,0.47,0.43,0.821
L_255_C5,255,C5,528.75,91,0.37,0.49,0.783
L_261_C5,261,C5,393.75,82,0.3,0.48,0.781
L_278_C5,278,C5,206.25,106,0.31,0.35,0.823
L_287_C5,287,C5,187.5,112,0.39,0.49,0.833
L_289_C5,289,C5,442.5,113,0.32,0.52,0.833
