Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_1_C4,1,C4,217.5,118,0.43,0.39,0.257
L_2_C4,2,C4,517.5,123,0.35,0.44,0.269
L_4_C4,4,C4,168.75,122,0.32,0.51,0.276
L_20_C4,20,C4,225.0,74,0.33,0.41,0.274
L_30_C4,30,C4,101.25,75,0.5,0.39,0.273
L_42_C4,42,C4,352.5,129,0.32,0.35,0.259
L_45_C4,45,C4,498.75,89,0.32,0.38,0.27
L_46_C4,46,C4,446.25,127,0.4,0.43,0.267
L_58_C4,58,C4,165.0,90,0.34,0.55,0.272
L_60_C4,60,C4,510.0,74,0.32,0.35,0.27
L_85_C4,85,C4,195.0,125,0.39,0.44,0.265
L_98_C4,98,C4,408.75,108,0.36,0.49,0.278
L_104_C4,104,C4,487.5,74,0.36,0.35,0.264
L_108_C4,108,C4,202.5,83,0.38,0.39,0.277
L_109_C4,109,C4,165.0,90,0.48,0.54,0.277
L_125_C4,125,C4,138.75,73,0.33,0.6,0.272
L_134_C4,134,C4,191.25,88,0.32,0.47,0.273
L_135_C4,135,C4,375.0,111,0.4,0.36,0.273
L_144_C4,144,C4,210.0,128,0.42,0.38,0.271
L_155_C4,155,C4,333.75,112,0.41,0.41,0.272
L_156_C4,156,C4,131.25,89,0.33,0.42,0.266
L_158_C4,158,C4,371.25,105,0.5,0.5,0.27
L_165_C4,165,C4,138.75,83,0.46,0.42,0.272
L_166_C4,166,C4,142.5,99,0.35,0.46,0.267
L_167_C4,167,C4,438.75,104,0.46,0.5,0.274
L_179_C4,179,C4,142.5,121,0.47,0.58,0.264
L_181_C4,181,C4,116.25,110,0.35,0.5,0.274
L_189_C4,189,C4,172.5,90,0.43,0.53,0.277
L_194_C4,194,C4,502.5,73,0.35,0.32,0.27
L_210_C4,210,C4,495.0,108,0.49,0.44,0.272
L_213_C4,213,C4,472.5,105,0.48,0.32,0.278
L_218_C4,218,C4,112.5,94,0.3,0.37,0.276
L_219_C4,219,C4,416.25,85,0.44,0.45,0.274
L_220_C4,220,C4,228.75,126,0.44,0.39,0.279
L_225_C4,225,C4,101.25,130,0.44,0.55,0.276
L_236_C4,236,C4,363.75,95,0.3,0.54,0.271
L_241_C4,241,C4,322.5,95,0.41,0.43,0.274
L_242_C4,242,C4,247.5,104,0.41,0.41,0.27
L_249_C4,249,C4,558.75,121,0.44,0.36,0.272
L_270_C4,270,C4,101.25,123,0.44,0.48,0.274
L_275_C4,275,C4,382.5,73,0.31,0.54,0.276
L_279_C4,279,C4,446.25,128,0.41,0.42,0.255
L_283_C4,283,C4,277.5,110,0.32,0.59,0.271
