Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_6_C3,6,C3,150.0,96,0.31,0.56,0.579
L_23_C3,23,C3,262.5,95,0.42,0.39,0.601
L_25_C3,25,C3,168.75,122,0.45,0.46,0.588
L_28_C3,28,C3,382.5,92,0.42,0.48,0.596
L_63_C3,63,C3,153.75,95,0.32,0.46,0.588
L_65_C3,65,C3,341.25,91,0.39,0.37,0.584
L_66_C3,66,C3,108.75,127,0.3,0.4,0.602
L_67_C3,67,C3,498.75,97,0.32,0.52,0.591
L_87_C3,87,C3,525.0,76,0.5,0.35,0.606
L_91_C3,91,C3,457.5,75,0.49,0.41,0.576
L_110_C3,110,C3,551.25,128,0.33,0.57,0.601
L_111_C3,111,C3,502.5,113,0.49,0.34,0.573
L_114_C3,114,C3,487.5,84,0.48,0.51,0.61
L_115_C3,115,C3,431.25,72,0.44,0.48,0.609
L_116_C3,116,C3,161.25,124,0.3,0.34,0.592
L_120_C3,120,C3,217.5,71,0.42,0.46,0.605
L_130_C3,130,C3,142.5,77,0.47,0.52,0.609
L_136_C3,136,C3,502.5,73,0.47,0.36,0.591
L_140_C3,140,C3,127.5,101,0.33,0.53,0.607
L_154_C3,154,C3,367.5,74,0.34,0.47,0.608
L_171_C3,171,C3,131.25,97,0.48,0.32,0.588
L_177_C3,177,C3,123.75,75,0.44,0.39,0.589
L_198_C3,198,C3,378.75,103,0.36,0.58,0.607
L_202_C3,202,C3,315.0,112,0.4,0.42,0.568
L_203_C3,203,C3,303.75,100,0.47,0.33,0.607
L_206_C3,206,C3,405.0,93,0.5,0.45,0.608
L_217_C3,217,C3,528.75,121,0.33,0.55,0.595
L_227_C3,227,C3,112.5,82,0.3,0.35,0.584
L_231_C3,231,C3,300.0,74,0.45,0.32,0.603
L_237_C3,237,C3,116.25,121,0.31,0.58,0.554
L_240_C3,240,C3,108.75,130,0.43,0.42,0.595
L_250_C3,250,C3,510.0,105,0.48,0.33,0.581
L_254_C3,254,C3,165.0,87,0.42,0.46,0.605
L_257_C3,257,C3,438.75,78,0.3,0.49,0.606
L_260_C3,260,C3,408.75,78,0.3,0.51,0.576
L_267_C3,267,C3,547.5,124,0.3,0.41,0.6
L_269_C3,269,C3,337.5,104,0.33,0.42,0.613
L_277_C3,277,C3,348.75,100,0.39,0.44,0.61
L_284_C3,284,C3,360.0,72,0.49,0.6,0.599
